oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2,cvegeo,cve_ent,cve_mun,nom_mun,tipo,tipo_vivi
casa en fraccionamiento en renta en cumbres providencia,,,,25.7357316,-100.4013816,2025-05-05 17:25:47.268265,lamudi,24500.0,,19039,19,039,Monterrey,renta,horizontal
departamento en renta en exseminario,2.0,1.0,89.0,25.6703426,-100.3351918,2025-05-05 17:25:47.268265,lamudi,22000.0,247.19101123595505,19039,19,039,Monterrey,renta,vertical
departamento en renta en mitras centro,2.0,1.0,55.0,25.6924556,-100.3425308,2025-05-05 17:25:47.268265,lamudi,18000.0,327.27272727272725,19039,19,039,Monterrey,renta,vertical
departamento en renta en buenos aires,2.0,1.0,80.0,25.6576379,-100.2818891,2025-05-05 17:25:47.268265,lamudi,15800.0,197.5,19039,19,039,Monterrey,renta,vertical
departamento en renta en buenos aires,2.0,1.0,88.0,25.6576379,-100.2818891,2025-05-05 17:25:47.268265,lamudi,12000.0,136.36363636363637,19039,19,039,Monterrey,renta,vertical
casa en renta en ciudad satelite,3.0,2.0,250.0,25.599934,-100.265978,2025-05-05 17:25:47.268265,lamudi,30000.0,120.0,19039,19,039,Monterrey,renta,horizontal
departamento en renta en valle de santiago,3.0,2.0,170.0,25.6339214,-100.2823168,2025-05-05 17:25:47.268265,lamudi,45000.0,264.7058823529412,19039,19,039,Monterrey,renta,vertical
casa en renta en cooperativa cuauhtemoc,4.0,5.0,396.0,25.68424852,-100.37528635,2025-05-05 17:25:47.268265,lamudi,58000.0,146.46464646464648,19039,19,039,Monterrey,renta,horizontal
departamento en renta en country el tesoro,3.0,2.0,120.0,25.642947,-100.277881,2025-05-05 17:25:47.268265,lamudi,45000.0,375.0,19039,19,039,Monterrey,renta,vertical
departamento en renta en tecnologico,1.0,1.0,65.0,25.6481097,-100.2907945,2025-05-05 17:25:47.268265,lamudi,30000.0,461.5384615384616,19039,19,039,Monterrey,renta,vertical
casa en renta en residencial de la sierra,3.0,3.0,200.0,25.5861149,-100.2537482,2025-05-05 17:25:47.268265,lamudi,33000.0,165.0,19039,19,039,Monterrey,renta,horizontal
casa en renta en cumbres elite 2do sector,3.0,3.0,450.0,25.7410385,-100.4038391,2025-05-05 17:25:47.268265,lamudi,50000.0,111.11111111111111,19039,19,039,Monterrey,renta,horizontal
departamento en renta en altavista,2.0,2.0,,25.644387,-100.287876,2025-05-05 17:25:47.268265,lamudi,27500.0,,19039,19,039,Monterrey,renta,vertical
departamento en renta en talleres,2.0,2.0,60.0,25.6888366,-100.3339017,2025-05-05 17:25:47.268265,lamudi,23000.0,383.3333333333333,19039,19,039,Monterrey,renta,vertical
departamento en renta en monterrey centro,2.0,2.0,90.0,25.6710478,-100.3227625,2025-05-05 17:25:47.268265,lamudi,25000.0,277.77777777777777,19039,19,039,Monterrey,renta,vertical
estudio en renta en colinas de san jeronimo,1.0,1.0,36.0,25.687915,-100.3666706,2025-05-05 17:25:47.268265,lamudi,9500.0,263.8888888888889,19039,19,039,Monterrey,renta,otro
departamento en renta en ladrillera,2.0,2.0,90.0,25.653752,-100.275343,2025-05-05 17:25:47.268265,lamudi,32000.0,355.55555555555554,19039,19,039,Monterrey,renta,vertical
casa en renta en rincon del valle,3.0,5.0,700.0,25.5786999,-100.2645693,2025-05-05 17:25:47.268265,lamudi,110000.0,157.14285714285714,19039,19,039,Monterrey,renta,horizontal
departamento en renta en monterrey centro,2.0,2.0,67.0,25.6838625,-100.3142155,2025-05-05 17:25:47.268265,lamudi,21000.0,313.43283582089555,19039,19,039,Monterrey,renta,vertical
departamento en renta en valle de santiago,2.0,2.0,120.0,25.6339214,-100.2823168,2025-05-05 17:25:47.268265,lamudi,40000.0,333.3333333333333,19039,19,039,Monterrey,renta,vertical
casa en renta en cumbres elite,4.0,3.0,342.0,25.7455636,-100.4069989,2025-05-05 17:25:47.268265,lamudi,7500000.0,21929.824561403508,19039,19,039,Monterrey,renta,horizontal
departamento en renta en monterrey centro,2.0,1.0,60.0,25.6838625,-100.3142155,2025-05-05 17:25:47.268265,lamudi,20000.0,333.3333333333333,19039,19,039,Monterrey,renta,vertical
departamento en renta en valle de santiago,2.0,1.0,100.0,25.6339214,-100.2823168,2025-05-05 17:25:47.268265,lamudi,28000.0,280.0,19039,19,039,Monterrey,renta,vertical
departamento en renta en la primavera 1er sect,2.0,2.0,110.0,25.651499,-100.277691,2025-05-05 17:25:47.268265,lamudi,32500.0,295.45454545454544,19039,19,039,Monterrey,renta,vertical
departamento en renta en monterrey centro,2.0,1.0,58.0,25.6838625,-100.3142155,2025-05-05 17:25:47.268265,lamudi,19000.0,327.58620689655174,19039,19,039,Monterrey,renta,vertical
departamento en renta en privada fundadores,2.0,2.0,140.0,25.6200661,-100.3046048,2025-05-05 17:25:47.268265,lamudi,46000.0,328.57142857142856,19039,19,039,Monterrey,renta,vertical
departamento en renta en loma larga,2.0,2.0,80.0,25.664111,-100.3465,2025-05-05 17:25:47.268265,lamudi,34500.0,431.25,19039,19,039,Monterrey,renta,vertical
casa en renta en colonial cumbres,,,,25.7351988,-100.3960674,2025-05-05 17:25:47.268265,lamudi,900000.0,,19039,19,039,Monterrey,renta,horizontal
casa en renta en cerradas cumbres,4.0,3.0,192.0,25.7430534,-100.4111572,2025-05-05 17:25:47.268265,lamudi,27000.0,140.625,19039,19,039,Monterrey,renta,horizontal
casa en renta en privadas de cumbres,3.0,2.0,180.0,25.7466685,-100.4039433,2025-05-05 17:25:47.268265,lamudi,20000.0,111.11111111111111,19039,19,039,Monterrey,renta,horizontal
departamento en renta en cima de las cumbres,2.0,2.0,90.0,25.7273802,-100.3777114,2025-05-05 17:25:47.268265,lamudi,16500.0,183.33333333333331,19039,19,039,Monterrey,renta,vertical
departamento en renta en ladrillera,2.0,2.0,90.0,25.654160509671463,-100.27420867036132,2025-05-05 17:25:47.268265,lamudi,34000.0,377.77777777777777,19039,19,039,Monterrey,renta,vertical
departamento en renta en ladrillera,2.0,2.0,84.0,25.65411961,-100.27412011,2025-05-05 17:25:47.268265,lamudi,30000.0,357.1428571428572,19039,19,039,Monterrey,renta,vertical
departamento en renta en ladrillera,2.0,2.0,81.0,25.6539284,-100.2754103,2025-05-05 17:25:47.268265,lamudi,33500.0,413.58024691358025,19039,19,039,Monterrey,renta,vertical
departamento en renta en ladrillera,2.0,2.0,121.0,25.65392840000001,-100.27386534760744,2025-05-05 17:25:47.268265,lamudi,34500.0,285.12396694214874,19039,19,039,Monterrey,renta,vertical
departamento en renta en monterrey centro,1.0,1.0,43.0,25.667176,-100.306712,2025-05-05 17:25:47.268265,lamudi,22500.0,523.2558139534884,19039,19,039,Monterrey,renta,vertical
departamento en renta en ladrillera,2.0,2.0,79.0,25.652862,-100.276669,2025-05-05 17:25:47.268265,lamudi,36000.0,455.6962025316456,19039,19,039,Monterrey,renta,vertical
departamento en renta en monterrey centro,1.0,1.0,50.0,25.669453,-100.306748,2025-05-05 17:25:47.268265,lamudi,20300.0,406.0,19039,19,039,Monterrey,renta,vertical
departamento en renta en monterrey,2.0,2.0,90.0,25.686358,-100.376108,2025-05-05 17:25:47.268265,lamudi,35000.0,388.8888888888889,19039,19,039,Monterrey,renta,vertical
departamento en renta en ladrillera,1.0,1.0,67.0,25.653713,-100.277441,2025-05-05 17:25:47.268265,lamudi,27100.0,404.4776119402985,19039,19,039,Monterrey,renta,vertical
departamento en renta en la espanola,2.0,2.0,132.0,25.6599711,-100.2775329,2025-05-05 17:25:47.268265,lamudi,29000.0,219.6969696969697,19039,19,039,Monterrey,renta,vertical
casa en renta en privada residencial la rioja,3.0,3.0,,25.662292,-100.274639,2025-05-05 17:25:47.268265,lamudi,32000.0,,19039,19,039,Monterrey,renta,horizontal
departamento en renta en lomas del vergel,2.0,2.0,,25.594301,-100.249628,2025-05-05 17:25:47.268265,lamudi,23900.0,,19039,19,039,Monterrey,renta,vertical
departamento en renta en ladrillera,1.0,1.0,,25.654275,-100.275593,2025-05-05 17:25:47.268265,lamudi,26500.0,,19039,19,039,Monterrey,renta,vertical
departamento en renta en monterrey centro,2.0,2.0,95.0,25.6742343,-100.3115287,2025-05-05 17:25:47.268265,lamudi,28500.0,300.0,19039,19,039,Monterrey,renta,vertical
casa en fraccionamiento en renta en el barro,3.0,4.0,105.0,25.5227402,-100.2090239,2025-05-05 17:25:47.268265,lamudi,29500.0,280.95238095238096,19039,19,039,Monterrey,renta,horizontal
casa en renta en la joya,3.0,3.0,360.0,25.549262,-100.233742,2025-05-05 17:25:47.268265,lamudi,55000.0,152.77777777777777,19039,19,039,Monterrey,renta,horizontal
casa en fraccionamiento en renta en la joya,4.0,4.0,,25.5578321,-100.2274561,2025-05-05 17:25:47.268265,lamudi,80000.0,,19039,19,039,Monterrey,renta,horizontal
